char1,char2,count,pmi,adj_prob
报,北,217,6.686562380365883,0.0001182948747791511
日,上,205,3.8964068049865137,0.00011175322271763123
家,主,383,3.7837427867242415,0.00020878772829684272
席,习,331,6.120605133827519,0.00018044056936358994
平,在,131,1.5437804352849542,7.141303500492533e-05
在,北,302,4.26519597950821,0.00016463157688158356
堂,会,43,4.529290860633864,2.344091988711289e-05
见,来,60,3.9252123793904565,3.270826030759938e-05
华,出,65,2.5371673798398198,3.5433948666565996e-05
席,全,22,0.7748897087013223,1.1993028779453106e-05
球,妇,72,6.9724763217770604,3.924991236911926e-05
女,峰,33,6.884359212130399,1.798954316917966e-05
会,的,189,-0.17988164570008122,0.00010303101996893805
的,加,18,-2.5448883462897065,9.812478092279814e-06
纳,总,8,2.550036202768183,4.3611013743465845e-06
统,马,14,3.220996592822028,7.631927405106522e-06
马,哈,6,5.233016860750334,3.2708260307599383e-06
平,指,238,4.13930474737365,0.0001297427658868109
年,是,223,2.524933146847558,0.00012156570080991104
是,中,582,2.653096813505884,0.000317270124983714
国,和,239,0.2705847292343127,0.00013028790355860422
和,加,77,1.0228482433082853,4.197560072808588e-05
由,两,5,2.5170327542188846,2.7256883589666153e-06
国,老,16,-0.2954068267870752,8.722202748693169e-06
辈,领,16,5.787545940498246,8.722202748693169e-06
人,亲,10,0.9786651642096817,5.4513767179332306e-06
方,坚,78,2.8272273504056367,4.25207383998792e-05
定,支,92,3.9853416888808875,5.015266580498572e-05
持,加,5,-1.6543096076256116,2.7256883589666153e-06
走,符,28,6.792500573349375,1.5263854810213044e-05
合,自,44,1.5250664883360128,2.3986057558906213e-05
身,国,12,-0.3477210360381812,6.541652061519877e-06
情,的,84,1.2237977801056845,4.579156443063914e-05
的,现,215,0.7919532096725536,0.00011720459943556446
化,道,48,1.7230460526339528,2.6166608246079507e-05
愿,同,199,5.53651155952422,0.00010848239668687128
加,方,7,-1.9033576937276093,3.815963702553261e-06
方,推,19,0.2943203874436389,1.0357615764073138e-05
动,各,87,2.5706731745087836,4.7426977446019105e-05
各,领,187,4.202478904990622,0.00010194074462535141
域,合,244,4.818440164249237,0.00013301359191757083
作,提,100,2.2758578911701934,5.451376717933231e-05
质,升,36,2.914154872769818,1.962495618455963e-05
为,共,30,0.021579291853383354,1.635413015379969e-05
新,时,1490,5.046989220747592,0.0008122551309720514
代,全,62,0.813030641496969,3.379853565118603e-05
候,中,17,2.443366798853061,9.267340420486492e-06
非,命,8,3.3635196579921476,4.3611013743465845e-06
运,共,587,6.0516790448256055,0.00031999581334268064
体,作,19,-0.9238033972091843,1.0357615764073138e-05
出,更,135,3.394124037981586,7.35935856920986e-05
更,大,354,3.2499913508906206,0.00019297873581483637
大,贡,83,3.945505307696444,4.524642675884581e-05
平,强,197,2.369783066078742,0.00010739212134328464
方,始,45,3.9536249763070277,2.4531195230699536e-05
终,秉,17,9.122024310217004,9.267340420486492e-06
持,真,18,2.6047027854529965,9.812478092279814e-06
念,和,65,3.0882331618115506,3.5433948666565996e-05
和,正,24,0.15163005755554906,1.3083304123039753e-05
展,对,35,0.41521289217364055,1.9079818512766308e-05
对,非,17,3.126002692474114,9.267340420486492e-06
非,合,40,3.7716043966292245,2.1805506871732922e-05
方,增,5,-1.3118835235180342,2.7256883589666153e-06
进,政,39,0.3973494312183114,2.12603691999396e-05
治,互,113,4.651191997176343,6.160055691264551e-05
在,涉,43,4.499530424684729,2.344091988711289e-05
方,核,9,1.06138115666291,4.906239046139907e-06
心,利,76,3.708548736558204,4.143046305629255e-05
益,和,84,3.7503332012770705,4.579156443063914e-05
和,重,169,1.6629951966337901,9.21282665330716e-05
大,关,62,0.4572354222901231,3.379853565118603e-05
切,问,49,4.75620268976659,2.671174591787283e-05
题,上,103,4.212917424129593,5.6149180194712274e-05
上,相,18,1.4013976372763415,9.812478092279814e-06
方,要,170,2.5923144830687734,9.267340420486492e-05
要,共,149,2.2040841209081683,8.122551309720513e-05
同,落,25,1.5209970504882155,1.3628441794833077e-05
实,中,155,0.8081475437284762,8.449633912796508e-05
作,论,38,2.4591467799811535,2.0715231528146275e-05
坛,北,20,6.805841766088983,1.0902753435866461e-05
京,峰,21,5.392898739300464,1.1447891107659785e-05
会,成,66,0.8095070859221618,3.597908633835932e-05
化,合,30,-0.3849366282390593,1.635413015379969e-05
作,模,6,-0.3293491148251347,3.2708260307599383e-06
施,建,118,3.699743402659773,6.432624527161212e-05
业,等,79,1.2682154698244938,4.306587607167252e-05
等,领,343,4.794298329799521,0.0001869822214251098
方,将,68,3.2906092082488483,3.706936168194597e-05
将,资,5,0.05594273750167928,2.7256883589666153e-06
势,转,29,4.832102974998975,1.5808992482006367e-05
化,为,222,2.471612344976599,0.00012102056313811771
为,发,81,0.16581939380471714,4.4156151415259165e-05
展,动,76,0.39712522975557624,4.143046305629255e-05
现,资,8,-0.4443225986441956,4.3611013743465845e-06
源,开,31,2.176701364807738,1.6899267825593014e-05
发,和,36,-1.7593727566477106,1.962495618455963e-05
和,环,16,-0.09649263887431647,8.722202748693169e-06
护,有,8,-0.37663637417847806,4.3611013743465845e-06
效,协,18,2.892099688815785,9.812478092279814e-06
动,两,71,3.0066024585088704,3.8704774697325937e-05
两,国,434,3.479060568222343,0.0002365897495583022
国,合,34,-1.5548587638961266,1.8534680840972985e-05
作,高,51,0.5475954053770485,2.7802021261459474e-05
量,发,1204,5.285871030911764,0.0006563457568391609
同,践,11,1.3802710222814722,5.996514389726553e-06
行,全,64,0.9999675094307475,3.4888810994772676e-05
球,治,284,5.527287173208464,0.00015481909878930375
理,倡,84,5.968291135387771,4.579156443063914e-05
动,构,141,4.189159172661332,7.686441172285855e-05
建,更,67,1.7856794034521206,3.652422401015264e-05
加,公,82,2.609974095081008,4.470128908705249e-05
正,合,62,2.2726918260630478,3.379853565118603e-05
理,的,169,0.5940896877071494,9.21282665330716e-05
的,全,386,0.7695746012812503,0.0002104231413122227
理,体,172,3.322531368349465,9.376367954845156e-05
方,就,9,-0.3064272996437698,4.906239046139907e-06
就,共,13,0.1385138588969924,7.086789733313199e-06
同,发,282,2.082455310362495,0.0001537288234457171
展,经,65,0.8693464930900106,3.5433948666565996e-05
济,伙,13,3.5642343780286736,7.086789733313199e-06
系,协,24,2.692090308494376,1.3083304123039753e-05
期,收,5,1.5277379623445584,2.7256883589666153e-06
待,加,5,1.9501149749485882,2.7256883589666153e-06
日,从,27,3.1000200814740277,1.4718717138419722e-05
从,中,88,1.6289577089169924,4.7972115117812426e-05
国,对,51,-0.30508045476460005,2.7802021261459474e-05
洲,建,6,1.8701120767600856,3.2708260307599383e-06
目,产,14,0.4347752782048533,7.631927405106522e-06
品,零,57,7.049694410071602,3.1072847292219415e-05
税,举,5,4.301293959231039,2.7256883589666153e-06
中,受,8,-0.7675471382644442,4.3611013743465845e-06
贺,中,15,2.4999999691931754,8.177065076899845e-06
国,成,135,0.43449399190436455,7.35935856920986e-05
功,举,30,5.648287391500309,1.635413015379969e-05
办,全,8,-0.13749001074650802,4.3611013743465845e-06
为,这,21,1.2894336606629913,1.1447891107659785e-05
次,峰,22,4.868983986243483,1.1993028779453106e-05
义,重,23,1.5691452740360639,1.253816645124643e-05
显,中,20,1.250052884319658,1.0902753435866461e-05
国,推,27,-1.102446993953848,1.4718717138419722e-05
动,世,28,1.3898184499126904,1.5263854810213044e-05
界,妇,9,3.833290774970801,4.906239046139907e-06
女,事,81,5.5323684651293625,4.4156151415259165e-05
业,发,519,2.5588222520925257,0.00028292645166073466
展,的,1124,2.248303350554367,0.0006127347430956951
的,领,110,0.21131789000661505,5.9965143897265535e-05
他,表,42,4.253919676778122,2.289578221531957e-05
同,中,406,2.29244160149309,0.00022132589474808915
国,的,495,-0.1982739266643565,0.0002698431475376949
的,友,69,1.5067737735327866,3.761449935373929e-05
系,历,10,1.6765354942995345,5.4513767179332306e-06
谢,中,49,5.169922609941337,2.671174591787283e-05
方,通,7,-0.7221946200208433,3.815963702553261e-06
过,中,24,-0.14604876665839903,1.3083304123039753e-05
和,共,27,-0.8377937749891408,1.4718717138419722e-05
带,一,315,4.5665901115539445,0.00017171836661489676
架,下,23,5.597743891727745,1.253816645124643e-05
作,对,7,-1.7561637818803324,3.815963702553261e-06
对,加,16,0.14338221708127283,8.722202748693169e-06
供,大,7,-0.9479160630775726,3.815963702553261e-06
持,和,198,2.0570228301454123,0.00010793725901507796
和,帮,26,3.0234525134913133,1.4173579466626399e-05
定,奉,39,6.464858374752519,2.12603691999396e-05
行,一,56,0.4461076317156544,3.052770962042609e-05
个,中,151,1.5646563332922272,8.231578844079178e-05
国,政,67,-0.3054086607493374,3.652422401015264e-05
于,深,35,2.4983752448461853,1.9079818512766308e-05
化,对,67,1.4390777750205654,3.652422401015264e-05
待,同,27,3.7570168604061784,1.4718717138419722e-05
方,加,102,2.5419667207636527,5.560404252291895e-05
强,贸,10,0.7132908409689928,5.4513767179332306e-06
字,经,137,5.339600309607842,7.468386103568526e-05
文,交,137,4.019743252795472,7.468386103568526e-05
流,等,21,1.9003873420816528,1.1447891107659785e-05
等,合,47,1.1739152772691182,2.5621470574286183e-05
系,迈,21,5.09618489904949,1.1447891107659785e-05
上,新,106,1.4137545995443717,5.778459321009224e-05
持,多,41,1.5698226172392953,2.2350644543526246e-05
边,主,204,4.835338432205884,0.0001112080850458379
国,等,27,-1.4915575763397633,1.4718717138419722e-05
等,理,11,-0.5828712942485981,5.996514389726553e-06
念,相,12,3.393700597029827,6.541652061519877e-06
家,加,16,-0.18082583596321072,8.722202748693169e-06
切,多,15,2.4315743796524876,8.177065076899845e-06
边,协,46,4.412254620012159,2.507633290249286e-05
护,国,159,2.2367673150612983,8.667688981513837e-05
际,公,108,4.40610035443248,5.887486855367889e-05
的,多,159,0.7865779226865225,8.667688981513837e-05
克,总,13,2.206876893905412,7.086789733313199e-06
国,在,149,0.35842339618219304,8.122551309720513e-05
在,加,47,0.6059397452318281,2.5621470574286183e-05
区,的,274,1.368582737419941,0.00014936772207137052
的,好,125,0.059988211389663884,6.814220897416538e-05
好,朋,35,6.222463781911471,1.9079818512766308e-05
好,伙,42,5.0403933506070695,2.289578221531957e-05
年,来,205,2.793254956165093,0.00011175322271763123
国,始,66,2.6024386292184363,3.597908633835932e-05
终,相,29,4.862126122292236,1.5808992482006367e-05
等,相,74,3.5836920651460353,4.0340187712705904e-05
信,不,8,-0.1567638275621107,4.3611013743465845e-06
断,巩,27,6.9903145558774975,1.4718717138419722e-05
域,交,64,4.321356004132542,3.4888810994772676e-05
流,合,116,3.97017438778723,6.323596992802547e-05
作,蓬,7,3.5885641823801677,3.815963702553261e-06
民,友,22,1.881513373835174,1.1993028779453106e-05
益,深,14,3.0515776753551505,7.631927405106522e-06
立,了,108,3.466096747892404,5.887486855367889e-05
了,不,79,2.024736467093289,4.306587607167252e-05
同,社,17,-0.03836175651273106,9.267340420486492e-06
