char1,char2,count,pmi,adj_prob
本,报,379,7.210949427280716,0.00020660717760966944
北,京,1685,9.006448473449147,0.0009185569769717493
日,电,829,6.98351720655355,0.0004519191299166648
记,者,562,6.402564952541065,0.00030636737154784754
王,嵘,5,8.563345000871063,2.7256883589666153e-06
上,午,255,7.3147945968500006,0.00013901010630729737
国,家,3858,5.2956977295723116,0.0021031411377786403
主,席,1901,7.46389474911927,0.0010363067140791071
习,近,5969,7.772410836037673,0.0032539267629343453
近,平,5969,7.280651300412945,0.0032539267629343453
京,人,108,3.283620398015471,5.887486855367889e-05
人,民,4052,5.770417198531261,0.002208897846106545
民,大,203,1.4832002020854869,0.00011066294737404457
大,会,760,3.326141863979727,0.0004143046305629255
会,堂,203,6.300169686766862,0.00011066294737404457
会,见,293,5.398348966644573,0.00015972533783544364
来,华,145,4.622364828117345,7.904496241003185e-05
出,席,502,5.883655944045447,0.0002736591112402482
全,球,2147,7.088961820356369,0.0011704105813402645
妇,女,438,10.769162996976712,0.0002387703002454755
峰,会,306,6.7518115785502895,0.00016681212756875684
加,纳,9,2.4026288572907317,4.906239046139907e-06
总,统,462,5.342831909461979,0.00025185360436851526
哈,马,6,5.074306687717236,3.2708260307599383e-06
指,出,1092,6.577105681937132,0.0005952903375983087
今,年,1502,7.247078907112145,0.0008187967830335713
中,国,8480,4.743822370767636,0.004622767456807379
建,交,258,4.263266286035624,0.00014064551932267734
周,年,623,6.7632858522625785,0.0003396207695272403
中,加,12,-2.367998146254608,6.541652061519877e-06
友,谊,280,10.495354763062187,0.00015263854810213047
两,国,729,4.2272843401048,0.0003974053627373325
老,一,34,1.5065003486120556,1.8534680840972985e-05
一,辈,44,5.24103695209692,2.3986057558906213e-05
领,导,1436,7.672078273370539,0.0007828176966952119
导,人,286,3.925951994800536,0.0001559093741328904
亲,自,103,6.042694892419741,5.6149180194712274e-05
缔,造,14,8.440085497185413,7.631927405106522e-06
历,久,44,5.7543224644924065,2.3986057558906213e-05
久,弥,44,10.538121404680606,2.3986057558906213e-05
弥,坚,18,6.984554179968327,9.812478092279814e-06
中,方,844,3.258406631971162,0.00046009619499356465
坚,定,1180,6.1978528805509345,0.0006432624527161212
支,持,1422,7.405013530139021,0.0007751857692901053
符,合,277,7.862076783355565,0.0001510031350867505
自,身,283,6.647230596081058,0.0001542739611175104
国,情,88,1.790407219951359,4.7972115117812426e-05
现,代,2188,6.772733296572445,0.001192761225883791
代,化,1918,5.548189050087627,0.0010455740544995935
道,路,474,7.289718520646915,0.0002583952564300351
同,加,6,-1.834671256224377,3.2708260307599383e-06
推,动,3437,6.436387549540058,0.0018736381779536513
领,域,1400,7.936900289061443,0.0007631927405106522
合,作,2980,6.123932846959586,0.0016245102619441027
提,质,157,3.9130343374883774,8.558661447155172e-05
升,级,543,7.757383461279867,0.0002960097557837744
共,筑,11,3.17104071504426,5.996514389726553e-06
时,代,2140,6.789325462956137,0.0011665946176377113
全,天,62,2.052192228588117,3.379853565118603e-05
天,候,58,6.74832441260301,3.1617984964012735e-05
中,非,87,3.3851404830154666,4.7426977446019105e-05
命,运,717,8.209472761998265,0.0003908637106758126
共,同,2365,6.384471876834755,0.001289250593791209
同,体,757,4.732199444956484,0.0004126692175475455
作,出,698,4.165255408895212,0.0003805060949117395
贡,献,717,10.81907093952569,0.0003908637106758126
强,调,1065,6.525041496958659,0.0005805716204598891
始,终,650,10.587320273721405,0.00035433948666566
秉,持,95,8.083897788679591,5.1788078820365687e-05
真,实,44,3.198006796688105,2.3986057558906213e-05
亲,诚,35,8.10804737465321,1.9079818512766308e-05
理,念,602,7.264940493223864,0.00032817287841958046
正,确,317,6.93201556586579,0.0001728086419584834
开,展,1509,5.061574070858213,0.0008226127467361245
增,进,207,3.3258702697230205,0.00011284349806121787
政,治,1426,6.297028440999865,0.0007773663199772787
互,信,253,6.35433618234883,0.00013791983096371073
涉,及,126,8.89317332364322,6.86873466459587e-05
双,方,507,6.729362400504942,0.00027638479959921476
核,心,782,7.917887609446257,0.0004262976593423786
