char1,char2,count,pmi,adj_prob
节,庆,6,5.3199487178555485,3.085261193070503e-05
信,心,97,6.667768017019537,0.0004987838928797313
乙,巳,10,14.247282249568029,5.142101988450839e-05
春,节,164,8.428442909278706,0.0008433047261059375
中,华,132,5.182588469438207,0.0006787574624755108
华,儿,18,7.431649897308227,9.25578357921151e-05
儿,女,20,10.32223228484067,0.00010284203976901678
迎,来,16,6.031142693142894,8.227363181521342e-05
首,个,17,5.517761467562988,8.741573380366426e-05
申,遗,17,10.509468260763501,8.741573380366426e-05
成,功,45,6.761855422397788,0.00023139458948028774
味,儿,5,8.359756978826441,2.5710509942254194e-05
烟,火,8,10.196345284342803,4.113681590760671e-05
升,腾,6,7.742661857164476,3.085261193070503e-05
文,旅,22,5.890370162920467,0.00011312624374591846
展,演,8,4.194119990565882,4.113681590760671e-05
文,化,346,6.14446758321271,0.0017791672880039903
节,日,47,7.014233767526622,0.00024167879345718944
中,国,809,4.820578474260591,0.004159960508656729
独,特,13,7.870372138087516,6.684732584986091e-05
景,观,8,7.543378676123365,4.113681590760671e-05
无,论,9,6.925454345315165,4.627891789605755e-05
逛,庙,5,12.721213437900442,2.5710509942254194e-05
庙,会,10,6.799455131774219,5.142101988450839e-05
还,是,19,5.133265989276373,9.769993778056594e-05
饽,饽,6,13.569210344455392,3.085261193070503e-05
或,者,6,7.773170735625621,3.085261193070503e-05
舞,狮,6,10.818782490482622,3.085261193070503e-05
一,项,22,2.9985460354319797,0.00011312624374591846
项,项,6,3.6842449082289943,3.085261193070503e-05
承,载,7,8.386815991050863,3.599471391915587e-05
团,圆,21,9.229784476526309,0.00010798414175746762
吉,祥,11,10.051362039592773,5.656312187295923e-05
美,好,42,6.014187616698715,0.00021596828351493525
传,统,117,7.701693987181017,0.0006016259326487481
习,俗,5,5.200540197637588,2.5710509942254194e-05
千,百,5,6.518273379230166,2.5710509942254194e-05
百,年,27,5.5512291705823795,0.00013883675368817265
年,来,50,4.014957265401956,0.00025710509942254196
日,常,15,5.062886232052516,7.713152982676259e-05
色,彩,7,6.39419552141646,3.599471391915587e-05
一,幅,5,4.455989100975823,2.5710509942254194e-05
画,卷,7,11.216693929734605,3.599471391915587e-05
河,南,10,7.232034475869092,5.142101988450839e-05
南,省,7,5.5271601655652365,3.599471391915587e-05
洛,阳,5,9.574856907596534,2.5710509942254194e-05
阳,市,7,5.512814550201463,3.599471391915587e-05
新,春,52,4.832763691454911,0.00026738930339944363
喜,气,5,6.723093171118664,2.5710509942254194e-05
游,客,56,9.364289921656875,0.00028795771135324696
纷,纷,6,11.38268337567595,3.085261193070503e-05
驻,足,7,6.9692975022682635,3.599471391915587e-05
拍,照,5,9.984247843734234,2.5710509942254194e-05
打,卡,6,7.117999232623062,3.085261193070503e-05
市,民,34,4.04748362392797,0.00017483146760732853
灵,活,7,8.212286828211825,3.599471391915587e-05
红,色,23,7.064002879988991,0.0001182683457343693
喜,欢,12,9.59910445384321,6.170522386141006e-05
很,多,10,5.976800027342787,5.142101988450839e-05
过,年,28,3.9248671662911367,0.00014397885567662348
节,目,10,4.921864351857901,5.142101988450839e-05
今,年,62,6.799865691169355,0.000318810323283952
