pos1,pos2,count,mi
n,x,9486,0.5386340458513353
n,n,7478,-0.12080397841031837
v,n,5865,0.04519100306642167
x,v,5669,0.4555690112400761
n,v,5274,-0.1061430643690566
v,x,4981,0.12578593286343345
x,n,4511,-0.39249378589486744
v,v,3245,-0.29030581292807783
x,x,2644,-0.8469282680662336
m,m,2196,2.675243206784544
uj,n,1985,0.9558727457526658
n,vn,1918,0.39454471640374933
d,v,1886,1.294120372528571
vn,n,1763,0.28117087798418733
vn,x,1651,0.502769150617559
a,n,1624,0.46469567319580823
p,n,1494,0.5881722928297923
m,n,1369,-0.3161610698442519
n,uj,1366,0.39929286351369386
x,p,1365,0.9676227500898764
x,d,1321,0.7189092664915162
m,x,1283,-0.09347171897217359
ns,n,1200,0.5326921128675216
x,m,1163,-0.03844130625950553
v,vn,1069,0.067720193525147
v,a,1032,0.31949612013487044
n,d,1003,-0.13591497179739725
x,ns,978,0.7290336166263901
a,x,963,0.027042370894386717
v,m,948,-0.2743324720696933
x,r,904,1.2659922622716073
x,nr,872,0.7400664363009338
n,p,858,-0.1597440258720592
n,c,810,0.710413805812406
n,nr,808,0.17257821662153558
vn,v,774,-0.38804031115671367
nr,x,771,0.3869026299689245
x,a,769,-0.1638923140913287
n,a,764,-0.6308186516716732
a,v,760,-0.11236882162354987
c,n,747,0.5965641441648678
l,x,711,1.1448837775738585
nr,n,688,-0.09371029228430718
i,x,656,1.4874045864384338
v,uj,643,-0.1712576330294114
v,d,639,-0.2698323970435455
v,p,630,-0.0888535005652877
n,m,620,-1.403467660112753
m,v,617,-0.9475253079178636
v,ns,612,0.11173177113157981
x,vn,582,-0.8684515680518313
nr,v,576,0.1683657684907775
f,x,569,0.905365145972801
n,f,567,0.5724412609804381
r,n,567,0.08359719750276212
r,v,522,0.4827140831652878
d,n,519,-1.0858186738235154
p,v,509,-0.4468544798488789
v,ul,506,2.2072205418090385
nrfg,n,498,1.4671809365854025
t,x,493,0.7583723081539427
a,uj,482,1.6850409217326838
uj,v,462,-0.6288856908267263
x,nt,458,1.1929268959256352
v,r,446,0.30571416654149564
d,a,443,1.4667467409346875
c,v,443,0.3611784139655194
ns,x,428,-0.6383689641869169
nt,n,427,0.5327488491483935
x,t,419,0.7987364328559304
n,l,383,-0.06355828479509087
ns,ns,369,2.1584187467204137
vn,vn,367,0.4953888171613238
ns,v,356,-0.701977332627091
v,nr,353,-0.5055925484400406
x,l,345,0.24320906259974992
x,i,344,0.7030589840978663
vn,uj,342,0.8879984630419937
u,n,332,0.9612900068554453
